"id","Sample_Name","locationID","Latitude","Longitude","geodeticDatum","eventDate","verbatimEventDate","temperature","salinity","associatedSequences","materialSampleID"
"CO1_H5.1021.b.S40.L001","1021.b","N",37.495288,-122.499198,"EPSG:4326","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST",15.9,33.1,"https://www.ncbi.nlm.nih.gov/sra/?term=SRR28222233","https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN40257580"
"CO1_H6.1021.c.S48.L001","1021.c","N",37.495288,-122.499198,"EPSG:4326","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST",15.9,33.1,"https://www.ncbi.nlm.nih.gov/sra/?term=SRR28222188","https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN40257585"
"CO1_F10.1035.a.S78.L001","1035.a","N",37.495288,-122.499198,"EPSG:4326","2022-01-28T21:30:00Z","2022-01-28T13:30:00PST",14.6,33.1,"https://www.ncbi.nlm.nih.gov/sra/?term=SRR28222332","https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN40257569"
"CO1_H2.1013.b.S16.L001","1013.b","N",37.495288,-122.499198,"EPSG:4326","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST",12.8,33.2,"https://www.ncbi.nlm.nih.gov/sra/?term=SRR28222229","https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN40257584"
"CO1_E11.1034.b.S83.L001","1034.b","N",37.495288,-122.499198,"EPSG:4326","2022-01-28T20:30:00Z","2022-01-28T12:30:00PST",13.7,33.2,"https://www.ncbi.nlm.nih.gov/sra/?term=SRR28222288","https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN40257573"
"CO1_2.F1.1041.a.S98.L001","1041.a","N",37.495288,-122.499198,"EPSG:4326","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST",12.9,33.2,"https://www.ncbi.nlm.nih.gov/sra/?term=SRR28222187","https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN40257586"
"CO1_D9.1025.c.S68.L001","1025.c","N",37.495288,-122.499198,"EPSG:4326","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST",12.9,33.2,"https://www.ncbi.nlm.nih.gov/sra/?term=SRR28222267","https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN40257620"
"CO1_H3.1013.c.S24.L001","1013.c","N",37.495288,-122.499198,"EPSG:4326","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST",12.8,33.2,"https://www.ncbi.nlm.nih.gov/sra/?term=SRR28222230","https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN40257583"
"CO1_D8.1025.b.S60.L001","1025.b","N",37.495288,-122.499198,"EPSG:4326","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST",12.9,33.2,"https://www.ncbi.nlm.nih.gov/sra/?term=SRR28222268","https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN40257619"
"CO1_G9.1028.c.S71.L001","1028.c","N",37.495288,-122.499198,"EPSG:4326","2022-01-28T20:00:00Z","2022-01-28T12:00:00PST",13.2,33,"https://www.ncbi.nlm.nih.gov/sra/?term=SRR28222289","https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN40257572"
